Title,Genre,Year,Runtime,Rating,desc,Votes,Director,Stars
The Unholy Wife,"Crime, Drama, Film-Noir            ",1957,94 min,5.6,A gold-digger floozy marries a wealthy wine producer but she secretly takes a young lover with whom she conspires to murder her husband for his fortune.,540,,
Valerie,"Crime, Drama, Western            ",1957,82 min,5.9,"After the American Civil War, former Union Major John Garth marries pretty settler Valerie but tragedy strikes and the two spouses end up in court where they give two different conflicting accounts of their marriage.",364,,
Cop Hater,"Crime, Drama, Film-Noir            ",1958,75 min,6.4,The hardworking detectives of the 87th Precinct in an unnamed city during a massive heat wave investigate the seemingly random murders of policemen.,517,,
The Crooked Circle,"Crime, Drama, Film-Noir            ",1957,72 min,7.1,A young prizefighter finds himself being squeezed on all sides to throw a fight.,46,,
Cry Terror!,"Crime, Film-Noir, Thriller            ",1958,96 min,6.6,"Duped by former Army pal Paul Hoplin into building a time-bomb, New York shop owner Jim Molner and his family become hostages of Hoplin who uses bomb-threats to extort money from airlines.",1318,,
I Want to Live!,"Biography, Crime, Drama            ",1958,120 min,7.5,"A prostitute, sentenced to death for murder, pleads her innocence.",6851,,
Johnny Rocco,"Crime, Drama, Film-Noir            ",1958,84 min,6.3,Gangster and police look for a gangster's son who witnessed a murder.,70,,
The Lineup,"Crime, Drama, Film-Noir            ",1958,86 min,7.3,"In San Francisco, a psychopathic gangster and his mentor retrieve heroin packages carried by unsuspecting travelers.",3998,,
Lonelyhearts,Drama            ,1958,100 min,6.7,"Eager for a job, journalist Adam White accepts the lowly position of columnist for the advice-giving section of the Chronicle but he often clashes with his cynical editor, Shrike.",1260,,
"Lost, Lonely and Vicious",Drama            ,1958,73 min,4.3,"Johnnie Dennis (Ken Clayton) is a rising, young male movie star. Despite his burgeoning career, Johnnie is unhappy, obsessed with death and engages in reckless behavior. After meeting Helen Preacher (Barbara Wilson), an innocent and caring drugstore clerk whom he falls for, Johnnie begins to rethink his cynical outlook on life.",143,,
Man of the West,"Drama, Romance, Western            ",1958,100 min,7.1,A reformed outlaw becomes stranded after an aborted train robbery with two other passengers and is forced to rejoin his old outlaw band.,8264,,
The Man Who Died Twice,"Crime, Drama, Film-Noir            ",1958,70 min,5.9,"Nightclub owner T.J. Brennon dies in a car accident and two narcotics agents are killed in his apartment, prompting an investigation by the local police aided by Brennon's cop brother.",160,,
Murder by Contract,"Crime, Drama, Film-Noir            ",1958,81 min,7.3,Claude is a ruthless and efficient contract killer - until he finds his next target is a woman.,3791,,
Nowhere to Go,"Crime, Drama            ",1958,89 min,6.8,"In London, a Canadian serving prison time for grand theft escapes prison and attempts to retrieve his loot, kept in a bank safety deposit box, but his accomplice takes the security key while he only has the pass code.",808,,
Party Girl,"Crime, Drama, Film-Noir            ",1958,99 min,7,"Lawyer Tommy Farrell is a defender of crooks. Vicki Gaye encourages him to go straight, but mob king Rico Angelo insists otherwise.",3507,,
Revolt in the Big House,"Crime, Drama, Film-Noir            ",1958,79 min,6.3,"Gannon is an imprisoned racketeer kingpin who tries to manipulate his young cell mate into staging a riot and prison break, but the cell mate tries to back out when he realizes other inmates may be killed in the process.",184,,
Rope of Sand,"Adventure, Film-Noir            ",1949,104 min,6.6,A man abused by a sadistic mining company cop before he could tell where on their desert property he'd found diamonds decides to steal them instead.,1614,,
Screaming Mimi,"Drama, Film-Noir, Thriller            ",1958,79 min,5.8,"Exotic dancer Virginia Wilson sees a man get shot moments after he tries to knife her in a shower, so she goes to Dr. Greenwood a psychiatrist for therapy. He falls in love with her and ...                See full summary »",640,,
Stakeout on Dope Street,"Crime, Drama            ",1958,83 min,6.3,This crime drama follows three teenagers who find a fortune in pure heroin lost by a gang of dope peddlers during a gun battle with the police.,430,,
Step Down to Terror,"Crime, Drama, Film-Noir            ",1958,76 min,6.1,A killer on the lam takes refuge in his childhood home where his mother and widowed sister-in-law are ignorant of his criminal past.,170,,
Terror in a Texas Town,"Drama, Western            ",1958,80 min,6.8,A Swedish whaler is out for revenge when he finds out that a greedy oil man murdered his father for their land.,2218,,
Touch of Evil,"Crime, Drama, Film-Noir            ",1958,95 min,8,"A stark, perverse story of murder, kidnapping, and police corruption in a Mexican border town.",105642,,
Vertigo,"Mystery, Romance, Thriller            ",1958,128 min,8.3,"A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed.",404675,,
The Beat Generation,"Crime, Drama, Thriller            ",1959,95 min,5.5,A detective is assigned to track down and capture a crazed serial rapist.,361,,
The Big Operator,"Crime, Drama            ",1959,91 min,6.4,"During the 1950s, a corrupt labor union boss and the mob silence all those who witness their shady activities but an honest union member threatens to testify in front of a Senate Committee, thus becoming a murder-target.",297,,
Compulsion,"Biography, Crime, Drama            ",1959,103 min,7.4,Two wealthy law-school students go on trial for murder in this version of the Leopold-Loeb case.,6814,,
The Crimson Kimono,"Crime, Drama, Mystery            ",1959,82 min,6.9,"Two detectives seek a stripper's killer in the Japanese quarter of Los Angeles, but a love triangle threatens their friendship.",2874,,
Cry Tough,"Crime, Drama            ",1959,83 min,5.8,"Puerto Rican ex-con tries to go straight, but is tempted back to his old life by his former gang.",143,,
Date with Death,Crime            ,1959,84 min,6.5,"A Hobo thrown off a train assumes the identity of a big-city police detective, found by him dead, and is assigned to rid an isolated desert town of big-time racketeers.",85,,
The Last Mile,"Drama, Thriller            ",1959,81 min,6.7,A prison break is attempted the same night an execution occurs on death row.,333,,
The Louisiana Hussy,"Crime, Drama            ",1959,85 min,5.5,"Cajun newlyweds must deal with the jealousy of his brother, who also loved her, and the arrival of a mysterious seductress in their bayou backwater.",116,,
The Man in the Net,"Crime, Mystery            ",1959,98 min,6.1,A struggling artist in a small town becomes the prime suspect when his wife mysteriously disappears.,661,,
Odds Against Tomorrow,"Crime, Drama, Thriller            ",1959,96 min,7.4,"In need of quick money, a fallen former cop recruits a hard-bitten ex-con and a debt-ridden nightclub singer to pull off a bank job. But as the animosity between them boils over, the entire plan threatens to implode.",4897,,
The Rough and the Smooth,Drama            ,1959,96 min,6,Young blonde woman seems to destroy everyone she comes in contact with.,181,,
Ride Lonesome,Western            ,1959,73 min,7.1,"A bounty hunter (Randolph Scott) escorts a killer (James Best) to be tried for murder, but allows the man's outlaw brother (Lee Van Cleef) to catch up with them to have a showdown over a previous shocking murder.",5768,,
The Trap,"Action, Crime, Drama            ",1959,84 min,6.6,"In a remote Californian desert town, a lawyer arranges for a wanted mobster to skip the country via a small airstrip but the local sheriff and his deputy could pose a problem.",206,,
Abandoned,"Drama, Film-Noir            ",1949,79 min,6.6,"Newspaperman helps girl find her sister's illegitimate baby, gets mixed up in baby-adoption racket.",533,Joseph M. Newman,Dennis O'Keefe
The Accused,"Drama, Film-Noir, Romance            ",1949,101 min,6.8,A beautiful psychology professor tries to hide a self-defense killing.,974,William Dieterle,Loretta Young
Ace in the Hole,"Drama, Film-Noir            ",1951,111 min,8.1,"A frustrated former big-city journalist now stuck working for an Albuquerque newspaper exploits a story about a man trapped in a cave to rekindle his career, but the situation quickly escalates into an out-of-control circus.","36,486",Billy Wilder,Kirk Douglas
Act of Violence,"Drama, Film-Noir, Thriller            ",1948,82 min,7.5,"An embittered, vengeful POW stalks his former commanding officer who betrayed his men's planned escape attempt from a Nazi prison camp.","5,301",Fred Zinnemann,Van Heflin
Affair in Havana,"Crime, Film-Noir            ",1957,77 min,5.5,Songwriter falls in love with a crippled man's wife.,200,Laslo Benedek,John Cassavetes
Affair in Trinidad,"Crime, Drama, Film-Noir            ",1952,98 min,6.6,Nightclub singer and her brother-in-law try to find her husband's killer.,"2,697",Vincent Sherman,Rita Hayworth
Among the Living,"Drama, Film-Noir, Mystery            ",1941,67 min,6.4,A mentally-unstable man who has been kept in isolation for years escapes and causes trouble for his identical twin brother.,716,Stuart Heisler,Albert Dekker
Angel Face,"Crime, Drama, Film-Noir            ",1952,91 min,7.2,Ambulance driver Frank Jessup is ensnared in the schemes of the sensuous but dangerous Diane Tremayne.,"8,196",Otto Preminger,Robert Mitchum
Apology for Murder,"Crime, Drama, Film-Noir            ",1945,67 min,5.7,"When a reporter helps his girlfriend murder her rich husband, an innocent man gets the blame and faces execution.",360,Sam Newfield,Hugh Beaumont
Appointment with Danger,"Crime, Drama, Film-Noir            ",1950,90 min,6.6,"When ruthlessly dedicated postal inspector investigates the murder of a co-worker, he finds that the sole witness, a nun, has been targeted by the killers.","1,333",Lewis Allen,Alan Ladd
Armored Car Robbery,"Action, Adventure, Crime            ",1950,67 min,6.9,"A well-planned robbery goes awry, with tough cop Cordell in pursuit.","2,796",Richard Fleischer,Charles McGraw
The Asphalt Jungle,"Crime, Drama, Film-Noir            ",1950,112 min,7.8,"A major heist goes off as planned, but then double crosses, bad luck and solid police work cause everything to unravel.","27,775",John Huston,Sterling Hayden
Backfire,"Crime, Film-Noir, Mystery            ",1950,91 min,6.5,"While recuperating from wartime back injuries at a hospital, veteran Bob Corey is visited on Christmas Eve by a beautiful stranger with an even stranger message.","1,423",Vincent Sherman,Viveca Lindfors
Backlash,"Crime, Film-Noir, Mystery            ",1947,66 min,6,Detectives try to solve the case of a murdered Los Angeles defense attorney.,429,Eugene Forde,Jean Rogers
The Beat Generation,"Crime, Drama, Thriller            ",1959,95 min,5.5,A detective is assigned to track down and capture a crazed serial rapist.,361,Charles F. Haas,Steve Cochran
Behind Locked Doors,"Crime, Drama, Film-Noir            ",1948,62 min,6.5,"A well-known judge has become a fugitive from the police, with a large reward on his head. A reporter believes that the judge is hiding in a private sanitarium, so she seeks out a private ...                See full summary »","3,356",Jacques Tourneur,Merle Oberon
